Timestep,ES>PT,ES>FR,PT>FR
78,-200.54037340058857808,5652.8940000000002328,0
79,490.45883867715292581,5652.8940000000002328,0
80,1037.8533467391744125,5652.8940000000002328,0
81,238.67859815179326688,-4035.2778545850887895,0
82,-1027.4013546381465858,-5652.8940000000002328,0
83,-1818.4406592389714206,-5652.8940000000002328,0
84,-2367.5609887988557603,-5652.8940000000002328,0
85,-2731.2804832843467011,-5652.8940000000002328,0
86,-2546.6617062271452596,-5652.8940000000002328,0
87,-2082.4195357740736654,-5652.8940000000002328,0
88,-1327.763233490904895,-5086.828723231155891,0
89,-175.90683932952561008,5652.8940000000002328,0
90,1253.5898144594375481,3720.6756356109326589,0
91,2337.034837845230868,-567.39273519251401012,0
92,2083.6210214657503457,-303.88819864585366304,0
93,1406.1364735942343032,1079.2431918807415059,0
94,1707.5034980360760528,-1382.2669790698600991,0
95,1410.7858866804772333,-223.18332433451269026,0
96,844.60710007211764605,2290.6379749203288156,0
97,65.843387074874044629,5352.508497045335389,0
98,-570.7495746588028851,5652.8940000000002328,0
99,-1137.4325938770643916,5652.8940000000002328,0
100,-1598.0625775306889409,5652.8940000000002328,0
101,-2103.2020084696623599,5652.8940000000002328,0
102,-2383.4638826710952344,-2944.0045453087950591,0
103,-2140.756124196042947,-696.88374499091878533,0
104,-1144.4807361850680536,-5652.8940000000002328,0
105,-1576.4177843490797386,-5652.8940000000002328,0
106,-2206.3794180154927744,-5652.8940000000002328,0
107,-2105.8711683258206904,-5652.8940000000002328,0
108,-1836.6725983501819428,-5652.8940000000002328,0
109,-1816.6648442417808837,-5652.8940000000002328,0
110,-1531.0124945325096633,-5652.8940000000002328,0
111,-1055.7235657392266148,-5652.8940000000002328,0
112,-334.50246636438350833,-5652.8940000000002328,0
113,797.00584553513363062,4068.5353954380843788,0
114,2243.2364294660719679,1619.580864231713349,0
115,3236.9238545088428509,-2092.672036548732649,0
116,3093.83091489722392,-1253.5700799179758178,0
117,2451.4293223793338257,244.47824331100855488,0
118,2567.0693406619047892,-2486.9315509012903931,0
119,2483.8215704684535012,-2014.8706537218804442,0
120,2394.9949875439579046,-297.26098776131402701,0
121,2084.7379836731925025,1985.4124644506082404,0
122,1861.0264204232553311,3622.5308639519244025,0
123,1476.9693880421646099,5652.8940000000002328,0
124,1117.0707625045333771,5652.8940000000002328,0
125,795.36369138556074176,-5652.8940000000002328,0
126,328.9708512998158767,-5652.8940000000002328,0
127,-75.79298660375570762,-5652.8940000000002328,0
128,-364.60559339819974412,-5652.8940000000002328,0
129,-1193.0972934796209302,-5652.8940000000002328,0
130,-1517.2073208179390349,-5652.8940000000002328,0
131,-1051.4190040370740462,-5652.8940000000002328,0
132,-311.08120921375666512,-5652.8940000000002328,0
133,-468.02943666552164359,-5652.8940000000002328,0
134,-671.77465545399172697,-5652.8940000000002328,0
135,-1833.0887439069210814,-5652.8940000000002328,0
136,-1208.3267711382377456,-5652.8940000000002328,0
137,-69.753955966891226126,-5652.8940000000002328,0
138,1490.1677663454529466,-5652.8940000000002328,0
139,3002.6897943615713302,-5652.8940000000002328,0
140,3538.8323056695480773,-5652.8940000000002328,0
141,4144.9099109355902328,-5652.8940000000002328,0
142,2738.0430217109678779,-5652.8940000000002328,0
143,2570.107568882907799,-5652.8940000000002328,0
144,3857.6607326719968114,-5652.8940000000002328,0
145,4222.2258293719542053,-5652.8940000000002328,0
146,3903.6263010153970754,-5652.8940000000002328,0
147,3543.880687185658644,-5652.8940000000002328,0
148,3226.8900437119627895,-5652.8940000000002328,0
149,3037.9000432157927207,-5652.8940000000002328,0
150,2653.191749131457982,-5652.8940000000002328,0
151,1972.0555782123633435,-5652.8940000000002328,0
152,1014.9276055424634251,-5652.8940000000002328,0
153,114.17506839945235697,-5652.8940000000002328,0
154,390.78857333002815722,-5652.8940000000002328,0
155,795.1447125097438402,-5652.8940000000002328,0
156,705.9702856069925474,-5652.8940000000002328,0
157,-302.72416847865315503,-5652.8940000000002328,0
158,-748.84321301713498542,-5652.8940000000002328,0
159,-1790.942312422037503,-5652.8940000000002328,0
160,-2627.0955069941619513,-5652.8940000000002328,0
161,-1979.3897352296153258,-5652.8940000000002328,0
162,-3432.6961749990050521,-5652.8940000000002328,0
163,1312.4389566872105206,-5652.8940000000002328,0
164,-50.889210001349965751,-5652.8940000000002328,0
165,3308.7380391578462877,-5652.8940000000002328,0
166,1764.7671001234239156,-5652.8940000000002328,0
167,2214.9950651105318684,-5652.8940000000002328,0
168,1568.5399273613656987,5652.8940000000002328,0
169,3704.6897163586186252,-1011.1426595377197373,0
170,3425.282998747829879,760.31424534290999873,0
171,3154.2234273089898124,2687.5546776929695625,0
172,2949.2540707342495807,4130.8624588078819215,0
173,2817.7337969119071204,4800.0398578730819281,0
174,2847.4008855715683239,5072.8115508058108389,0
175,2706.0559103060277266,5288.4427388235999388,0
176,2558.5434400244848803,4949.4330982879037037,0
177,2102.595203303289054,-448.07991108921123669,0
178,791.27325579334865324,-5652.8940000000002328,0
179,-0.06957559619695530273,-5652.8940000000002328,0
180,-754.81453396467441053,-5652.8940000000002328,0
181,-1415.224570666307045,-5652.8940000000002328,0
182,-1770.2318554517369193,-417.08889211306814104,0
183,-2520.6754566545823764,5652.8940000000002328,0
184,-2782.540554772305768,5652.8940000000002328,0
185,-2257.4303141174550547,5652.8940000000002328,0
186,-1165.7723189443659066,1972.8823597420123406,0
187,90.955360387950349832,-3089.5277461809455417,0
188,1547.1810617084483965,-5652.8940000000002328,0
189,1407.8482811667417991,-5652.8940000000002328,0
190,1224.9136627713105554,-5652.8940000000002328,0
191,1493.2375926559916479,-5652.8940000000002328,0
192,1723.5418026186525822,-5652.8940000000002328,0
193,3858.7746422788450218,-4954.9281622938478904,0
194,2661.5567388204572126,-1950.5561292057973333,0
195,1592.9031969521211067,1276.8577045090933098,0
196,1270.3123675493907285,3443.3175394551944919,0
197,1447.535703575927073,4253.4444169894122751,0
198,1575.9055669595127256,4816.5707405139182811,0
199,1138.5534546014941952,5603.4872604045449407,0
200,1111.848789986815973,5495.5427238274351112,0
201,61.070062591365058324,5652.8940000000002328,0
202,-1512.7597389614784333,-5652.8940000000002328,0
203,-2727.2161625181888667,-5652.8940000000002328,0
204,-3307.4096918391496729,-5652.8940000000002328,0
205,-4529.6175909369339934,-5652.8940000000002328,0
206,-4982.0190992460793495,3880.025501367636025,0
207,-5798.8054353619172616,5652.8940000000002328,0
208,-5374.4488864414779528,5652.8940000000002328,0
209,-4462.0202139945322415,5652.8940000000002328,0
210,-4251.9819092592952074,5652.8940000000002328,0
211,-4587.1153229450410436,2397.8754651292383642,0
212,-3481.3358665706200554,477.53144601871645136,0
213,-2113.9339645150485012,-648.91601868775433104,0
214,87.90862002160429256,-5652.8940000000002328,0
215,1208.9827729666722007,-5652.8940000000002328,0
216,2830.6323255965853605,-4726.0672093577832129,0
217,2294.551872768703106,-1537.99579530655501,0
218,2088.0744928850217548,389.02805876931233797,0
219,1794.5071616970935793,2543.517236023915757,0
220,1680.6586419709510665,4014.7394829254044453,0
221,1666.4913007304285202,4734.7182635721546831,0
222,1847.0551050295898676,4933.5377339493206819,0
223,2402.5443224156852011,4446.511299693469482,0
224,1971.3027231199366724,5137.8056057850408251,0
225,1084.9713110977390897,5652.8940000000002328,0
226,80.404189332202804508,-5652.8940000000002328,0
227,-508.41770819571684115,-5652.8940000000002328,0
228,-942.10737375906865054,-5652.8940000000002328,0
229,-1449.6269900643983419,-5652.8940000000002328,0
