Date;imp_pmax_ES00277;imp_pmax_ES00813;imp_pmax_ES00817;imp_pmax_ES00818;imp_pmax_ES01092;imp_pmax_ES00742;imp_pmax_ES00859;imp_pmax_ES00981;imp_pmax_ES01126
01/09/2051 03:00;1774.9389830126356;122.02705508211871;443.7347457531589;443.7347457531589;443.7347457531589;287.09024187932886;1020.765304459836;287.09024187932886;1633.2244871357377
01/09/2051 04:00;1824.8179035664605;125.45623087019416;456.2044758916151;456.2044758916151;456.2044758916151;295.1579847727619;1049.4506125253756;295.1579847727619;1679.1209800406011
01/09/2051 05:00;1867.1029491121596;128.363327751461;466.7757372780399;466.7757372780399;466.7757372780399;301.9974446470323;1073.7686920783372;301.9974446470323;1718.0299073253395
01/09/2051 06:00;1880.6021350391695;129.2913967839429;470.1505337597924;470.1505337597924;470.1505337597924;304.18089128381826;1081.5320578980206;304.18089128381826;1730.4512926368332
01/09/2051 07:00;1844.9160772415146;126.83798031035413;461.22901931037865;461.22901931037865;461.22901931037865;298.40879485520793;1061.0090483740728;298.40879485520793;1697.6144773985166
01/09/2051 08:00;1736.624676686406;119.39294652219043;434.1561691716015;434.1561691716015;434.1561691716015;280.89303534101396;998.7307923236052;280.89303534101396;1597.9692677177686
01/09/2051 09:00;2174.2562809001197;149.48011931188321;543.5640702250299;543.5640702250299;543.5640702250299;351.6784337745438;1250.4122089761559;351.6784337745438;2000.6595343618496
01/09/2051 10:00;2523.3734451827067;173.48192435631108;630.8433612956767;630.8433612956767;630.8433612956767;408.14692767622955;1451.1890761821496;408.14692767622955;2321.90252189144
01/09/2051 11:00;1186.6928518276816;81.58513356315311;296.6732129569204;296.6732129569204;296.6732129569204;191.9434646082447;682.4656519404256;191.9434646082447;1091.9450431046812
01/09/2051 12:00;1163.1686339823216;79.96784358628462;290.7921584955804;290.7921584955804;290.7921584955804;188.13850373021867;668.9369021518886;188.13850373021867;1070.299043443022
01/09/2051 13:00;2137.061259365742;146.9229615813948;534.2653148414355;534.2653148414355;534.2653148414355;345.6622676802668;1229.0213961965042;345.6622676802668;1966.4342339144068
01/09/2051 14:00;2169.8436302060554;149.1767495766663;542.4609075515139;542.4609075515139;542.4609075515139;350.9647027859226;1247.8744987943917;350.9647027859226;1996.5991980710269
01/09/2051 15:00;114.68741250883697;7.884759609982542;28.671853127209243;28.671853127209243;28.671853127209243;18.550292327114875;65.9565949408529;18.550292327114875;105.53055190536463
01/09/2051 16:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01/09/2051 17:00;290.7567050332407;19.989523471035298;72.68917625831017;72.68917625831017;72.68917625831017;47.02889145763695;167.21383629382026;47.02889145763695;267.54213807011246
01/09/2051 18:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01/09/2051 19:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
01/09/2051 20:00;576.4294776387495;39.62952658766403;144.10736940968738;144.10736940968738;144.10736940968738;93.23547442785853;331.5039090768303;93.23547442785853;530.4062545229286
01/09/2051 21:00;751.2447647343483;51.64807757548645;187.81119118358708;187.81119118358708;187.81119118358708;121.5112425172467;432.0399733946549;121.5112425172467;691.2639574314479
01/09/2051 22:00;1140.8476387012806;78.43327516071305;285.21190967532016;285.21190967532016;285.21190967532016;184.52815994062834;656.1001242333452;184.52815994062834;1049.7601987733526
01/09/2051 23:00;1235.2440300282087;84.92302706443937;308.8110075070522;308.8110075070522;308.8110075070522;199.79644976802615;710.3873769529819;199.79644976802615;1136.6198031247711
02/09/2051 00:00;3728.9635912331073;256.36624689727614;932.2408978082768;932.2408978082768;932.2408978082768;603.1469642687445;2144.522539622202;603.1469642687445;3431.236063395524
02/09/2051 01:00;457.3205569139219;31.440788287832135;114.33013922848048;114.33013922848048;114.33013922848048;73.97001843858459;263.0045100038563;73.97001843858459;420.80721600617017
02/09/2051 02:00;723.0915382739948;49.71254325633715;180.7728845684987;180.7728845684987;180.7728845684987;116.95755550516259;415.8490862405781;116.95755550516259;665.3585379849251
02/09/2051 03:00;936.4098989868082;64.37818055534308;234.10247474670206;234.10247474670206;234.10247474670206;151.46106258933122;538.5282225398444;151.46106258933122;861.6451560637511
02/09/2051 04:00;1173.8219796628716;80.70026110182242;293.4554949157179;293.4554949157179;293.4554949157179;189.86164554947266;675.0636286203472;189.86164554947266;1080.1018057925558
02/09/2051 05:00;1346.9312391922354;92.60152269446618;336.73280979805884;336.73280979805884;336.73280979805884;217.86146958031526;774.6185585077876;217.86146958031526;1239.3896936124604
02/09/2051 06:00;1688.8348361082067;116.10739498243922;422.20870902705167;422.20870902705167;422.20870902705167;273.1631939085594;971.2469116748779;273.1631939085594;1553.9950586798047
02/09/2051 07:00;1912.2390651014307;131.4664357257234;478.0597662753577;478.0597662753577;478.0597662753577;309.29805530512897;1099.7264188626807;309.29805530512897;1759.5622701802893
02/09/2051 08:00;1907.080021301601;131.11175146448508;476.77000532540023;476.77000532540023;476.77000532540023;308.46359781304926;1096.7594588908419;308.46359781304926;1754.8151342253473
02/09/2051 09:00;2055.0796069655985;141.2867229788849;513.7699017413996;513.7699017413996;513.7699017413996;332.4020189379263;1181.873845112627;332.4020189379263;1890.9981521802033
02/09/2051 10:00;1082.115212794512;74.39542087962269;270.528803198628;270.528803198628;270.528803198628;175.02839317618745;622.3231757375553;175.02839317618745;995.7170811800887
02/09/2051 11:00;595.9231070210147;40.969713607694764;148.9807767552537;148.9807767552537;148.9807767552537;96.38850156176122;342.71467221959546;96.38850156176122;548.3434755513529
02/09/2051 12:00;623.9499227747853;42.896557190766494;155.9874806936963;155.9874806936963;155.9874806936963;100.92174207924671;358.8328607262106;100.92174207924671;574.132577161937
02/09/2051 13:00;377.9908301897763;25.98686957554712;94.49770754744408;94.49770754744408;94.49770754744408;61.138709502657136;217.38207823166982;61.138709502657136;347.81132517067175
02/09/2051 14:00;456.7883144577891;31.404196618973003;114.19707861444728;114.19707861444728;114.19707861444728;73.8839300620646;262.6984179984519;73.8839300620646;420.317468797523
02/09/2051 15:00;1150.377440178787;79.0884490122916;287.59436004469677;287.59436004469677;287.59436004469677;186.06957237081545;661.5807017628994;186.06957237081545;1058.529122820639
02/09/2051 16:00;1454.5325598942736;99.99911349273131;363.6331399735684;363.6331399735684;363.6331399735684;235.26561106491496;836.4999504530309;235.26561106491496;1338.3999207248498
02/09/2051 17:00;661.7605651887709;45.496038856728;165.44014129719272;165.44014129719272;165.44014129719272;107.03748272167682;380.57771634373984;107.03748272167682;608.9243461499839
02/09/2051 18:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/09/2051 19:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/09/2051 20:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/09/2051 21:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/09/2051 22:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/09/2051 23:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 00:00;347.24461081695597;23.873066993665724;86.81115270423899;86.81115270423899;86.81115270423899;56.165614854842374;199.69996392832846;56.165614854842374;319.51994228532556
03/09/2051 01:00;497.2051157927119;34.18285171074895;124.30127894817798;124.30127894817798;124.30127894817798;80.42120789656082;285.9420725211051;80.42120789656082;457.50731603376823
03/09/2051 02:00;555.8272124642823;38.21312085691941;138.95680311607057;138.95680311607057;138.95680311607057;89.90312928878184;319.65557080455767;89.90312928878184;511.4489132872923
03/09/2051 03:00;904.498701411501;62.1842857220407;226.12467535287524;226.12467535287524;226.12467535287524;146.29953674633902;520.1761306536499;146.29953674633902;832.2818090458399
03/09/2051 04:00;1416.2289282051333;97.36573881410293;354.05723205128334;354.05723205128334;354.05723205128334;229.07013111223102;814.4715772879325;229.07013111223102;1303.1545236606921
03/09/2051 05:00;1700.8963737880679;116.93662569792968;425.22409344701697;425.22409344701697;425.22409344701697;275.1141059134727;978.1834876923475;275.1141059134727;1565.0935803077562
03/09/2051 06:00;1636.7001537055096;112.52313556725379;409.1750384263774;409.1750384263774;409.1750384263774;264.7305893376192;941.2643176448682;264.7305893376192;1506.0229082317894
03/09/2051 07:00;1229.1267500075296;84.50246406301767;307.2816875018824;307.2816875018824;307.2816875018824;198.80700088128214;706.869336466781;198.80700088128214;1130.9909383468498
03/09/2051 08:00;773.0050221788365;53.14409527479501;193.25125554470912;193.25125554470912;193.25125554470912;125.03088890108529;444.55427164830326;125.03088890108529;711.2868346372853
03/09/2051 09:00;1131.8060673167959;77.81166712802971;282.95151682919897;282.95151682919897;282.95151682919897;183.0657170394447;650.9003272513589;183.0657170394447;1041.4405236021744
03/09/2051 10:00;1202.6109653749993;82.6795038695312;300.6527413437498;300.6527413437498;300.6527413437498;194.5181644217591;691.6201401662546;194.5181644217591;1106.5922242660076
03/09/2051 11:00;1323.7233686420648;91.00598159414196;330.9308421605162;330.9308421605162;330.9308421605162;214.10767678319962;761.2717396735986;214.10767678319962;1218.034783477758
03/09/2051 12:00;1174.250976530996;80.72975463650599;293.562744132749;293.562744132749;293.562744132749;189.93103430920698;675.3103442105137;189.93103430920698;1080.496550736822
03/09/2051 13:00;1030.3162071520342;70.83423924170235;257.57905178800854;257.57905178800854;257.57905178800854;166.6500831602753;592.5336290143122;166.6500831602753;948.0538064228996
03/09/2051 14:00;707.8306198148761;48.663355112272725;176.95765495371901;176.95765495371901;176.95765495371901;114.48915472425645;407.0725501306896;114.48915472425645;651.3160802091035
03/09/2051 15:00;221.33292120048367;15.216638332533252;55.33323030012092;55.33323030012092;55.33323030012092;35.799834524707684;127.28830053229399;35.799834524707684;203.6612808516704
03/09/2051 16:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 17:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 18:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 19:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 20:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 21:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 22:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/09/2051 23:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 00:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 01:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 02:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 03:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 04:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 05:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 06:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 07:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 08:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 09:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 10:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
04/09/2051 11:00;33.40045187246659;2.296281066232078;8.350112968116647;8.350112968116647;8.350112968116647;5.40240757497468;19.208560266576637;5.40240757497468;30.733696426522624
04/09/2051 12:00;293.9197284924654;20.206981333856998;73.47993212311636;73.47993212311636;73.47993212311636;47.54049956285616;169.0328873345997;47.54049956285616;270.4526197353596
