Timestep,a_0,a_1,b
4,-31.36124632901329079,-31.254047911422357942,32123185121.376319885
4,-21.146558921719712743,-31.254047911422166095,31970272760.137413025
4,-21.491920964898326929,-31.254047910893547169,31977618550.101036072
5,-26.480000394414219045,0,28283562132.141819
5,-31.918045947109472849,-31.771577470813415545,28439529826.118995667
5,-25.076793159716725512,-39.802038426722212705,28715473252.180416107
5,-34.09862679299134669,-25.185129862875214712,28720837592.970970154
5,-41.37269982873659302,-34.313446452280146559,30587368043.760005951
5,-13.064199464925602356,-31.948239566388799915,30238027345.794891357
5,-29.864734037495843211,-31.240194757473325637,30813212260.705104828
5,-33.024231549820704856,-31.240194589847305906,31154756359.326160431
5,-18.871496579392044168,-31.240527304826365196,30944738237.05373764
5,-26.166209565055719821,-32.498121918037533362,31080437663.276515961
5,-31.13265189366707375,-32.501212433027752979,31157541981.525550842
5,-31.23520961180429012,-32.503999141044019439,31182274392.93415451
5,-30.395079736473107346,-31.260944534682728602,31187582348.481197357
5,-33.413142180079823618,-28.416348226828066714,31331690703.373195648
5,-18.058030165940504475,-31.337807024330626149,31111662923.970321655
5,-27.863490103389171537,-32.322160688771184311,31314283336.735866547
5,-35.088154877558650924,-33.56492146979530844,31423573613.148487091
5,-26.992695368557473756,-32.902984378187277059,31323800416.080844879
5,-29.054037342119169551,-30.657880873987227943,31518219009.638118744
5,-31.122372879075385299,-35.078584865186947184,31526361470.261516571
5,-36.920913565413677304,-32.101177802729182531,31731266051.866039276
5,-15.348678742671360453,-31.435308079172841644,31442467080.680435181
5,-27.672062045939920694,-31.190060908097940739,31778865321.882835388
5,-31.653693636087606222,-32.17862930275531852,31840541859.894447327
5,-25.463605334927478907,-31.190210870418567879,31752308515.143516541
5,-27.890987875217160052,-31.344380576524688564,31791424012.983161926
5,-31.162702752778713489,-31.26030408411534367,31841712352.015323639
5,-31.23439244343230925,-31.257224132524722648,31842649225.813899994
5,-31.36124632901329079,-31.254047911422357942,31846894326.199008942
5,-20.178314463238891108,-31.254047911422031092,31673806552.233203888
5,-27.044891433096630351,-31.254047910554895395,31784687658.484931946
6,-26.480000394414219045,0,28032130835.559661865
6,-31.918045947109472849,-31.767508902027394413,28156543918.330341339
6,-25.705720186246551862,-39.802038426722212705,28443121635.140525818
6,-34.09862679299134669,-25.185129862875214712,28449327722.727157593
6,-41.37269982873659302,-34.313446452280146559,30330859464.697154999
6,-14.801014112171998249,-31.948239566388799915,29992999720.419059753
6,-29.864734037495836105,-31.240194757473325637,30528510151.903137207
6,-33.024231549820704856,-31.240194589847305906,30874789747.89169693
6,-22.835924867680269301,-31.24062415527629355,30724756288.757637024
6,-27.246734958564211126,-32.498121918037533362,30812759743.167758942
6,-33.895367370807520047,-32.503409652818696429,30914990635.958755493
6,-31.220847364240817967,-32.504002323703318211,30897379150.652168274
6,-30.395079736473107346,-31.260944534682728602,30902799840.622169495
6,-33.413142180079823618,-28.416348226828066714,31055202879.375205994
6,-20.998268152280662235,-31.384494084286000515,30877807807.928012848
6,-28.609265560689458141,-32.322160688771184311,31040866802.489925385
6,-35.088154877558650924,-33.56492146979530844,31149555548.773326874
6,-23.652224492235319531,-32.602271776822455251,30991391647.552215576
6,-29.054037342119169551,-30.657880873987227943,31234342838.299648285
6,-32.049057888906865799,-37.013635744166620611,31244813005.71295929
6,-36.920913565413677304,-32.079425560306610521,31462190270.095222473
6,-18.373486106585126265,-31.418589846803818943,31213908927.472393036
6,-27.672062045939899377,-31.190060908097940739,31495304952.080924988
6,-31.653693636087606222,-32.17862930275531852,31556862031.952098846
6,-30.046898341789905373,-31.190210870418567879,31537111180.657024384
6,-29.400823878727759819,-31.41543700307702025,31529004267.409267426
6,-31.162702752778713489,-31.26030408411534367,31556810646.430038452
6,-31.23439244343230925,-31.257224132524747517,31557736098.874706268
6,-31.36124632901329079,-31.254047911422357942,31562314834.29958725
6,-23.808792439276317054,-31.254047911421682926,31445231344.249889374
6,-28.037852814347267838,-31.254047910380748476,31514168535.875713348
7,-26.480000394414219045,0,27735044182.266201019
7,-31.918045947109472849,-31.749261987471989244,27824383711.862792969
7,-26.057188871878249614,-39.802038426722212705,28120616522.592876434
7,-34.09862679299134669,-25.185129862875207607,28128843246.072422028
7,-41.37269982873659302,-34.313446452280139454,30024799652.794231415
7,-15.900224224800883377,-31.948239566388814126,29697666433.915161133
7,-29.864734037495825447,-31.240194757473325637,30195311096.618331909
7,-33.024231549820704856,-31.240194589847305906,30545599612.438228607
7,-23.819684150042409243,-31.240877410831036087,30411741645.170410156
7,-27.658717847705034387,-32.498121918037540468,30488125352.498153687
7,-33.895367370807520047,-32.503409652818696429,30588287957.861278534
7,-31.094486732626556602,-32.50403032508941692,30562255452.943065643
7,-30.395079736473096688,-31.260944534682728602,30569277462.51581192
7,-33.413142180079823618,-28.416348226828066714,30729645639.336986542
7,-22.164788230080695541,-31.482518115301832751,30571441310.064434052
7,-29.040948292513590445,-32.322160688771170101,30714781968.411933899
7,-35.088154877558650924,-33.56492146979530844,30826216097.142112732
7,-20.714673741678872432,-32.271807144714728111,30620307053.849830627
7,-29.054037342119169551,-30.657880873987227943,30902517683.923980713
7,-32.391071529541669349,-37.739425376716546623,30914648086.526245117
7,-36.920913565413677304,-31.981817360392739147,31143724061.484390259
7,-20.677338990290767384,-31.406378933749042659,30929728114.994606018
7,-27.672062045939870956,-31.190060908097940739,31164729174.200321198
7,-31.653693636087606222,-32.178629302755311414,31224025499.243515015
7,-30.51851531753350244,-31.190215036038594576,31210220242.000152588
7,-30.899530226249702025,-31.442755317619962341,31217343334.60918045
7,-31.162702752778713489,-31.26030408411534367,31222817567.03515625
7,-31.236383823728239406,-31.257138578313899302,31223717747.511623383
7,-31.36124632901329079,-31.254047911422357942,31228601405.57377243
7,-24.937620488678273745,-31.2540479114207983,31130791539.412914276
