Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00192;Continent;0.0;0.0;198.0;242.00000000000003
ES00193;Continent;0.0;0.0;198.0;242.00000000000003
ES00194;Continent;0.0;0.0;360.0;440.00000000000006
ES00195;Continent;0.0;0.0;198.0;242.00000000000003
ES00196;Continent;0.0;0.0;360.0;440.00000000000006
ES00197;Continent;0.0;0.0;198.0;242.00000000000003
ES00198;Continent;0.0;0.0;198.0;242.00000000000003
ES00199;Continent;0.0;0.0;198.0;242.00000000000003
ES00200;Continent;0.0;0.0;198.0;242.00000000000003
ES00201;Continent;0.0;0.0;198.0;242.00000000000003
ES00202;Continent;0.0;0.0;198.0;242.00000000000003
ES00203;Continent;0.0;0.0;360.0;440.00000000000006
ES00204;Continent;0.0;0.0;198.0;242.00000000000003
ES00205;Continent;0.0;0.0;198.0;242.00000000000003
ES00206;Continent;0.0;0.0;360.0;440.00000000000006
ES00207;Continent;0.0;0.0;198.0;242.00000000000003
ES00208;Continent;0.0;0.0;360.0;440.00000000000006
ES00209;Continent;0.0;0.0;198.0;242.00000000000003
ES00210;Continent;0.0;0.0;198.0;242.00000000000003
ES00211;Continent;0.0;0.0;360.0;440.00000000000006
ES00212;Continent;0.0;0.0;198.0;242.00000000000003
ES00213;Continent;0.0;0.0;198.0;242.00000000000003
ES00214;Continent;0.0;0.0;360.0;440.00000000000006
ES00215;Continent;0.0;0.0;198.0;242.00000000000003
ES00216;Continent;0.0;0.0;198.0;242.00000000000003
ES00217;Continent;0.0;0.0;198.0;242.00000000000003
ES00218;Continent;0.0;0.0;198.0;242.00000000000003
ES00219;Continent;0.0;0.0;198.0;242.00000000000003
ES00220;Continent;0.0;0.0;198.0;242.00000000000003
ES00221;Continent;0.0;0.0;360.0;440.00000000000006
ES00222;Continent;0.0;0.0;198.0;242.00000000000003
ES00223;Continent;0.0;0.0;198.0;242.00000000000003
ES00224;Continent;0.0;0.0;360.0;440.00000000000006
ES00225;Continent;0.0;0.0;198.0;242.00000000000003
ES00226;Continent;0.0;0.0;360.0;440.00000000000006
ES00227;Continent;0.0;0.0;198.0;242.00000000000003
ES00228;Continent;0.0;0.0;198.0;242.00000000000003
ES00229;Continent;0.0;0.0;360.0;440.00000000000006
ES00230;Continent;0.0;0.0;198.0;242.00000000000003
ES00231;Continent;0.0;0.0;198.0;242.00000000000003
ES00232;Continent;0.0;0.0;198.0;242.00000000000003
