index;node;mc;mc_heat;g_max;eta;plant_type;storage_power;storage_capacity
G0077;ES00136;31.24;0.0;395.0;1.0;Gas;0.0;0.0
G0078;ES00136;31.24;0.0;390.0;1.0;Gas;0.0;0.0
G0085;ES00153;31.24;0.0;425.0;1.0;Gas;0.0;0.0
G0086;ES00153;31.24;0.0;379.0;1.0;Gas;0.0;0.0
G0088;ES00153;31.24;0.0;418.0;1.0;Gas;0.0;0.0
G0107;ES00187;31.24;0.0;390.0;1.0;Gas;0.0;0.0
G0108;ES00187;31.24;0.0;402.0;1.0;Gas;0.0;0.0
G0111;ES00190;31.24;0.0;36.0;1.0;Gas;0.0;0.0
G0113;ES00190;31.24;0.0;821.0;1.0;Gas;0.0;0.0
G0114;ES00190;31.24;0.0;393.0;1.0;Gas;0.0;0.0
G0115;ES00190;31.24;0.0;388.0;1.0;Gas;0.0;0.0
G0140;ES00212;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0145;ES00222;31.24;0.0;47.0;1.0;Gas;0.0;0.0
G0168;ES00267;31.24;0.0;782.0;1.0;Gas;0.0;0.0
G0169;ES00267;31.24;0.0;858.0;1.0;Gas;0.0;0.0
G0170;ES00267;31.24;0.0;26.0;1.0;Gas;0.0;0.0
G0171;ES00269;31.24;0.0;804.0;1.0;Gas;0.0;0.0
G0172;ES00269;31.24;0.0;275.0;1.0;Gas;0.0;0.0
G0176;ES00273;31.24;0.0;40.0;1.0;Gas;0.0;0.0
G0184;ES00281;31.24;0.0;21.0;1.0;Gas;0.0;0.0
G0189;ES00287;31.24;0.0;233.0;1.0;Gas;0.0;0.0
G0192;ES00287;31.24;0.0;226.0;1.0;Gas;0.0;0.0
G0209;ES00300;31.24;0.0;43.0;1.0;Gas;0.0;0.0
G0210;ES00303;31.24;0.0;41.0;1.0;Gas;0.0;0.0
G0211;ES00303;31.24;0.0;50.0;1.0;Gas;0.0;0.0
G0255;ES00347;31.24;0.0;418.0;1.0;Gas;0.0;0.0
G0256;ES00347;31.24;0.0;401.0;1.0;Gas;0.0;0.0
G0257;ES00347;31.24;0.0;395.0;1.0;Gas;0.0;0.0
G0258;ES00347;31.24;0.0;816.0;1.0;Gas;0.0;0.0
G0259;ES00347;31.24;0.0;418.0;1.0;Gas;0.0;0.0
G0260;ES00347;31.24;0.0;22.0;1.0;Gas;0.0;0.0
G0261;ES00347;31.24;0.0;403.0;1.0;Gas;0.0;0.0
G0262;ES00347;31.24;0.0;413.0;1.0;Gas;0.0;0.0
G0263;ES00347;31.24;0.0;45.0;1.0;Gas;0.0;0.0
G0264;ES00347;31.24;0.0;42.0;1.0;Gas;0.0;0.0
G0284;ES00370;31.24;0.0;414.0;1.0;Gas;0.0;0.0
G0286;ES00370;31.24;0.0;420.0;1.0;Gas;0.0;0.0
G0308;ES00393;31.24;0.0;23.0;1.0;Gas;0.0;0.0
G0314;ES00399;78.92;0.0;70.0;1.0;Oil;0.0;0.0
G0329;ES00422;31.24;0.0;46.0;1.0;Gas;0.0;0.0
G0334;ES00427;31.24;0.0;391.0;1.0;Gas;0.0;0.0
G0335;ES00428;78.92;0.0;80.0;1.0;Oil;0.0;0.0
G0346;ES00448;31.24;0.0;417.0;1.0;Gas;0.0;0.0
G0373;ES00477;31.24;0.0;391.0;1.0;Gas;0.0;0.0
G0376;ES00478;31.24;0.0;83.0;1.0;Gas;0.0;0.0
G0377;ES00478;31.24;0.0;391.0;1.0;Gas;0.0;0.0
G0378;ES00478;31.24;0.0;389.0;1.0;Gas;0.0;0.0
G0379;ES00478;31.24;0.0;387.0;1.0;Gas;0.0;0.0
G0380;ES00478;31.24;0.0;28.0;1.0;Gas;0.0;0.0
G0385;ES00490;31.24;0.0;386.0;1.0;Gas;0.0;0.0
G0386;ES00490;31.24;0.0;373.0;1.0;Gas;0.0;0.0
G0408;ES00518;31.24;0.0;26.0;1.0;Gas;0.0;0.0
G0412;ES00521;31.24;0.0;435.0;1.0;Gas;0.0;0.0
G0413;ES00521;31.24;0.0;431.0;1.0;Gas;0.0;0.0
G0441;ES00553;31.24;0.0;24.0;1.0;Gas;0.0;0.0
G0447;ES00558;31.24;0.0;426.0;1.0;Gas;0.0;0.0
G0448;ES00558;31.24;0.0;428.0;1.0;Gas;0.0;0.0
G0456;ES00570;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0459;ES00578;31.24;0.0;50.0;1.0;Gas;0.0;0.0
G0461;ES00583;31.24;0.0;396.0;1.0;Gas;0.0;0.0
G0462;ES00585;31.24;0.0;785.0;1.0;Gas;0.0;0.0
G0523;ES00683;82.0;0.0;25.0;1.0;Oil/Gas;0.0;0.0
G0528;ES00683;82.0;0.0;25.0;1.0;Oil/Gas;0.0;0.0
G0530;ES00683;82.0;0.0;25.0;1.0;Oil/Gas;0.0;0.0
G0546;ES00708;31.24;0.0;46.0;1.0;Gas;0.0;0.0
G0552;ES00713;31.24;0.0;50.0;1.0;Gas;0.0;0.0
G0565;ES00737;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0586;ES00784;31.24;0.0;230.0;1.0;Gas;0.0;0.0
G0587;ES00784;31.24;0.0;230.0;1.0;Gas;0.0;0.0
G0627;ES00843;31.24;0.0;40.0;1.0;Gas;0.0;0.0
G0686;ES00918;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0697;ES00933;31.24;0.0;49.0;1.0;Gas;0.0;0.0
G0736;ES00998;31.24;0.0;33.0;1.0;Gas;0.0;0.0
G0745;ES01025;31.24;0.0;786.0;1.0;Gas;0.0;0.0
G0749;ES01038;31.24;0.0;21.0;1.0;Gas;0.0;0.0
G0754;ES01047;78.92;0.0;76.0;1.0;Oil;0.0;0.0
G0780;ES01089;31.24;0.0;416.0;1.0;Gas;0.0;0.0
G0788;ES01113;31.24;0.0;412.0;1.0;Gas;0.0;0.0
G0789;ES01113;31.24;0.0;400.0;1.0;Gas;0.0;0.0
G0790;ES01113;31.24;0.0;859.0;1.0;Gas;0.0;0.0
G0802;ES01131;31.24;0.0;32.0;1.0;Gas;0.0;0.0
G0814;ES01141;31.24;0.0;23.0;1.0;Gas;0.0;0.0
G0818;ES01144;31.24;0.0;95.0;1.0;Gas;0.0;0.0
G0910;ES01240;31.24;0.0;34.0;1.0;Gas;0.0;0.0
G0911;ES01240;31.24;0.0;43.0;1.0;Gas;0.0;0.0
G0110;ES00190;31.24;0.0;45.0;1.0;Gas;0.0;0.0
G0112;ES00190;31.24;0.0;74.0;1.0;Gas;0.0;0.0
G0117;ES00190;31.24;0.0;41.0;1.0;Gas;0.0;0.0
G0195;ES00290;90.0;0.0;52.0;1.0;Diesel;0.0;0.0
G0197;ES00290;90.0;0.0;52.0;1.0;Diesel;0.0;0.0
G0198;ES00290;90.0;0.0;39.0;1.0;Diesel;0.0;0.0
G0200;ES00290;90.0;0.0;38.0;1.0;Diesel;0.0;0.0
G0201;ES00290;90.0;0.0;45.0;1.0;Diesel;0.0;0.0
G0202;ES00291;83.0;0.0;38.0;1.0;Oil/Gas/Diesel;0.0;0.0
G0203;ES00291;83.0;0.0;38.0;1.0;Oil/Gas/Diesel;0.0;0.0
G0338;ES00438;31.24;0.0;23.0;1.0;Gas;0.0;0.0
G0503;ES00655;78.92;0.0;65.0;1.0;Oil;0.0;0.0
G0504;ES00655;78.92;0.0;85.0;1.0;Oil;0.0;0.0
G0526;ES00683;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0527;ES00683;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0531;ES00683;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0649;ES00876;78.92;0.0;85.0;1.0;Oil;0.0;0.0
G0116;ES00190;85.0;0.0;83.0;1.0;Oil/Diesel;0.0;0.0
G0199;ES00290;90.0;0.0;48.0;1.0;Diesel;0.0;0.0
G0524;ES00683;90.0;0.0;31.0;1.0;Diesel;0.0;0.0
G0529;ES00683;85.0;0.0;74.0;1.0;Oil/Diesel;0.0;0.0
G0569;ES00740;82.0;0.0;36.0;1.0;Oil/Gas;0.0;0.0
G0092;ES00158;12.42;0.0;1044.0;1.0;Nuclear;0.0;0.0
G0093;ES00158;12.42;0.0;1049.0;1.0;Nuclear;0.0;0.0
G0138;ES00207;12.42;0.0;1027.0;1.0;Nuclear;0.0;0.0
G0139;ES00207;12.42;0.0;1033.0;1.0;Nuclear;0.0;0.0
G0160;ES00242;12.42;0.0;1102.0;1.0;Nuclear;0.0;0.0
G0285;ES00370;12.42;0.0;1087.0;1.0;Nuclear;0.0;0.0
G0307;ES00391;12.42;0.0;1066.0;1.0;Nuclear;0.0;0.0
G0375;ES00478;82.0;0.0;50.0;1.0;Oil/Gas;0.0;0.0
G0644;ES00858;31.24;0.0;25.0;1.0;Gas;0.0;0.0
G0460;ES00579;0.0;0.0;20.0;1.0;Wind;0.0;0.0
G0014;ES00017;0.0;0.0;26.0;1.0;Wind;0.0;0.0
G0016;ES00025;0.0;0.0;28.0;1.0;Wind;0.0;0.0
G0018;ES00027;0.0;0.0;70.0;1.0;Wind;0.0;0.0
G0022;ES00037;0.0;0.0;244.0;1.0;Wind;0.0;0.0
G0023;ES00040;0.0;0.0;92.0;1.0;Wind;0.0;0.0
G0027;ES00054;0.0;0.0;189.0;1.0;Wind;0.0;0.0
G0028;ES00056;0.0;0.0;45.0;1.0;Wind;0.0;0.0
G0033;ES00061;0.0;0.0;46.0;1.0;Wind;0.0;0.0
G0035;ES00064;0.0;0.0;98.0;1.0;Wind;0.0;0.0
G0036;ES00065;0.0;0.0;178.0;1.0;Wind;0.0;0.0
G0038;ES00072;0.0;0.0;563.0;1.0;Wind;0.0;0.0
G0042;ES00075;0.0;0.0;353.2;1.0;Wind;0.0;0.0
G0048;ES00081;0.0;0.0;89.0;1.0;Wind;0.0;0.0
G0050;ES00085;0.0;0.0;424.0;1.0;Wind;0.0;0.0
G0056;ES00096;0.0;0.0;54.0;1.0;Wind;0.0;0.0
G0060;ES00107;0.0;0.0;290.0;1.0;Wind;0.0;0.0
G0061;ES00109;0.0;0.0;91.0;1.0;Wind;0.0;0.0
G0068;ES00125;0.0;0.0;72.0;1.0;Wind;0.0;0.0
G0069;ES00128;0.0;0.0;33.0;1.0;Wind;0.0;0.0
G0073;ES00131;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0075;ES00132;0.0;0.0;224.0;1.0;Wind;0.0;0.0
G0081;ES00142;0.0;0.0;39.0;1.0;Wind;0.0;0.0
G0089;ES00155;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0097;ES00169;0.0;0.0;90.0;1.0;Wind;0.0;0.0
G0099;ES00170;0.0;0.0;178.2;1.0;Wind;0.0;0.0
G0101;ES00177;0.0;0.0;126.0;1.0;Wind;0.0;0.0
G0103;ES00179;0.0;0.0;13.0;1.0;Wind;0.0;0.0
G0105;ES00182;0.0;0.0;442.0;1.0;Wind;0.0;0.0
G0119;ES00191;0.0;0.0;101.0;1.0;Wind;0.0;0.0
G0120;ES00192;0.0;0.0;128.0;1.0;Wind;0.0;0.0
G0122;ES00193;0.0;0.0;200.0;1.0;Wind;0.0;0.0
G0124;ES00195;0.0;0.0;15.0;1.0;Wind;0.0;0.0
G0130;ES00199;0.0;0.0;25.0;1.0;Wind;0.0;0.0
G0134;ES00204;0.0;0.0;74.0;1.0;Wind;0.0;0.0
G0137;ES00207;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0142;ES00213;0.0;0.0;76.0;1.0;Wind;0.0;0.0
G0147;ES00227;0.0;0.0;20.0;1.0;Wind;0.0;0.0
G0148;ES00230;0.0;0.0;29.0;1.0;Wind;0.0;0.0
G0150;ES00232;0.0;0.0;100.0;1.0;Wind;0.0;0.0
G0152;ES00239;0.0;0.0;28.0;1.0;Wind;0.0;0.0
G0153;ES00240;0.0;0.0;495.8;1.0;Wind;0.0;0.0
G0159;ES00242;0.0;0.0;173.0;1.0;Wind;0.0;0.0
G0165;ES00264;0.0;0.0;24.0;1.0;Wind;0.0;0.0
G0167;ES00266;0.0;0.0;27.0;1.0;Wind;0.0;0.0
G0175;ES00272;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0181;ES00278;0.0;0.0;84.0;1.0;Wind;0.0;0.0
G0183;ES00280;0.0;0.0;528.0;1.0;Wind;0.0;0.0
G0185;ES00281;0.0;0.0;64.0;1.0;Wind;0.0;0.0
G0188;ES00284;0.0;0.0;100.0;1.0;Wind;0.0;0.0
G0208;ES00293;0.0;0.0;69.0;1.0;Wind;0.0;0.0
G0213;ES00304;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0215;ES00306;0.0;0.0;43.0;1.0;Wind;0.0;0.0
G0216;ES00307;0.0;0.0;11.0;1.0;Wind;0.0;0.0
G0218;ES00309;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0220;ES00310;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0223;ES00316;0.0;0.0;15.37;1.0;Wind;0.0;0.0
G0227;ES00319;0.0;0.0;111.0;1.0;Wind;0.0;0.0
G0228;ES00321;0.0;0.0;144.0;1.0;Wind;0.0;0.0
G0229;ES00322;0.0;0.0;204.0;1.0;Wind;0.0;0.0
G0230;ES00323;0.0;0.0;139.4;1.0;Wind;0.0;0.0
G0235;ES00327;0.0;0.0;70.0;1.0;Wind;0.0;0.0
G0254;ES00346;0.0;0.0;110.0;1.0;Wind;0.0;0.0
G0266;ES00350;0.0;0.0;49.0;1.0;Wind;0.0;0.0
G0272;ES00359;0.0;0.0;184.0;1.0;Wind;0.0;0.0
G0274;ES00362;0.0;0.0;607.2;1.0;Wind;0.0;0.0
G0276;ES00364;0.0;0.0;1185.0;1.0;Wind;0.0;0.0
G0279;ES00365;0.0;0.0;311.0;1.0;Wind;0.0;0.0
G0283;ES00370;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0288;ES00372;0.0;0.0;97.0;1.0;Wind;0.0;0.0
G0290;ES00374;0.0;0.0;27.0;1.0;Wind;0.0;0.0
G0294;ES00380;0.0;0.0;125.5;1.0;Wind;0.0;0.0
G0295;ES00381;0.0;0.0;52.0;1.0;Wind;0.0;0.0
G0300;ES00387;0.0;0.0;78.0;1.0;Wind;0.0;0.0
G0304;ES00390;0.0;0.0;96.0;1.0;Wind;0.0;0.0
G0306;ES00391;0.0;0.0;28.0;1.0;Wind;0.0;0.0
G0328;ES00416;0.0;0.0;60.0;1.0;Wind;0.0;0.0
G0331;ES00425;0.0;0.0;96.0;1.0;Wind;0.0;0.0
G0333;ES00427;0.0;0.0;106.0;1.0;Wind;0.0;0.0
G0336;ES00432;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0339;ES00439;0.0;0.0;16.0;1.0;Wind;0.0;0.0
G0348;ES00452;0.0;0.0;73.0;1.0;Wind;0.0;0.0
G0353;ES00459;0.0;0.0;41.0;1.0;Wind;0.0;0.0
G0354;ES00460;0.0;0.0;100.0;1.0;Wind;0.0;0.0
G0356;ES00461;0.0;0.0;180.0;1.0;Wind;0.0;0.0
G0358;ES00462;0.0;0.0;84.0;1.0;Wind;0.0;0.0
G0360;ES00463;0.0;0.0;107.0;1.0;Wind;0.0;0.0
G0361;ES00464;0.0;0.0;13.0;1.0;Wind;0.0;0.0
G0362;ES00465;0.0;0.0;124.0;1.0;Wind;0.0;0.0
G0364;ES00466;0.0;0.0;16.0;1.0;Wind;0.0;0.0
G0368;ES00472;0.0;0.0;23.0;1.0;Wind;0.0;0.0
G0371;ES00476;0.0;0.0;203.0;1.0;Wind;0.0;0.0
G0383;ES00481;0.0;0.0;109.0;1.0;Wind;0.0;0.0
G0391;ES00494;0.0;0.0;13.0;1.0;Wind;0.0;0.0
G0393;ES00495;0.0;0.0;95.0;1.0;Wind;0.0;0.0
G0396;ES00497;0.0;0.0;65.0;1.0;Wind;0.0;0.0
G0397;ES00498;0.0;0.0;58.0;1.0;Wind;0.0;0.0
G0401;ES00506;0.0;0.0;14.0;1.0;Wind;0.0;0.0
G0404;ES00510;0.0;0.0;91.0;1.0;Wind;0.0;0.0
G0411;ES00519;0.0;0.0;92.0;1.0;Wind;0.0;0.0
G0415;ES00522;0.0;0.0;158.0;1.0;Wind;0.0;0.0
G0416;ES00523;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0421;ES00531;0.0;0.0;42.0;1.0;Wind;0.0;0.0
G0422;ES00532;0.0;0.0;137.0;1.0;Wind;0.0;0.0
G0425;ES00534;0.0;0.0;351.0;1.0;Wind;0.0;0.0
G0429;ES00538;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0434;ES00540;0.0;0.0;39.0;1.0;Wind;0.0;0.0
G0435;ES00544;0.0;0.0;710.0;1.0;Wind;0.0;0.0
G0436;ES00545;0.0;0.0;341.0;1.0;Wind;0.0;0.0
G0438;ES00549;0.0;0.0;270.0;1.0;Wind;0.0;0.0
G0439;ES00551;0.0;0.0;183.0;1.0;Wind;0.0;0.0
G0440;ES00552;0.0;0.0;151.0;1.0;Wind;0.0;0.0
G0442;ES00553;0.0;0.0;297.0;1.0;Wind;0.0;0.0
G0449;ES00560;0.0;0.0;282.0;1.0;Wind;0.0;0.0
G0451;ES00562;0.0;0.0;70.0;1.0;Wind;0.0;0.0
G0453;ES00564;0.0;0.0;35.0;1.0;Wind;0.0;0.0
G0457;ES00570;0.0;0.0;180.0;1.0;Wind;0.0;0.0
G0463;ES00585;0.0;0.0;20.0;1.0;Wind;0.0;0.0
G0465;ES00596;0.0;0.0;152.0;1.0;Wind;0.0;0.0
G0467;ES00597;0.0;0.0;36.0;1.0;Wind;0.0;0.0
G0468;ES00599;0.0;0.0;70.0;1.0;Wind;0.0;0.0
G0469;ES00609;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0471;ES00610;0.0;0.0;369.0;1.0;Wind;0.0;0.0
G0476;ES00614;0.0;0.0;90.0;1.0;Wind;0.0;0.0
G0477;ES00615;0.0;0.0;260.0;1.0;Wind;0.0;0.0
G0479;ES00621;0.0;0.0;117.0;1.0;Wind;0.0;0.0
G0482;ES00628;0.0;0.0;32.0;1.0;Wind;0.0;0.0
G0483;ES00629;0.0;0.0;54.0;1.0;Wind;0.0;0.0
G0484;ES00630;0.0;0.0;76.0;1.0;Wind;0.0;0.0
G0486;ES00633;0.0;0.0;24.0;1.0;Wind;0.0;0.0
G0487;ES00636;0.0;0.0;42.0;1.0;Wind;0.0;0.0
G0488;ES00639;0.0;0.0;626.5;1.0;Wind;0.0;0.0
G0490;ES00640;0.0;0.0;171.0;1.0;Wind;0.0;0.0
G0491;ES00641;0.0;0.0;92.0;1.0;Wind;0.0;0.0
G0492;ES00642;0.0;0.0;16.0;1.0;Wind;0.0;0.0
G0496;ES00648;0.0;0.0;47.0;1.0;Wind;0.0;0.0
G0502;ES00653;0.0;0.0;48.0;1.0;Wind;0.0;0.0
G0506;ES00658;0.0;0.0;114.0;1.0;Wind;0.0;0.0
G0508;ES00664;0.0;0.0;52.0;1.0;Wind;0.0;0.0
G0509;ES00665;0.0;0.0;212.0;1.0;Wind;0.0;0.0
G0511;ES00667;0.0;0.0;21.0;1.0;Wind;0.0;0.0
G0512;ES00668;0.0;0.0;31.0;1.0;Wind;0.0;0.0
G0514;ES00669;0.0;0.0;58.0;1.0;Wind;0.0;0.0
G0517;ES00672;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0520;ES00677;0.0;0.0;43.0;1.0;Wind;0.0;0.0
G0532;ES00691;0.0;0.0;103.0;1.0;Wind;0.0;0.0
G0536;ES00697;0.0;0.0;123.0;1.0;Wind;0.0;0.0
G0537;ES00698;0.0;0.0;55.0;1.0;Wind;0.0;0.0
G0539;ES00700;0.0;0.0;14.0;1.0;Wind;0.0;0.0
G0540;ES00701;0.0;0.0;26.0;1.0;Wind;0.0;0.0
G0542;ES00702;0.0;0.0;14.0;1.0;Wind;0.0;0.0
G0544;ES00706;0.0;0.0;138.0;1.0;Wind;0.0;0.0
G0548;ES00708;0.0;0.0;10.0;1.0;Wind;0.0;0.0
G0549;ES00710;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0550;ES00711;0.0;0.0;22.0;1.0;Wind;0.0;0.0
G0551;ES00713;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0555;ES00720;0.0;0.0;17.0;1.0;Wind;0.0;0.0
G0556;ES00722;0.0;0.0;67.0;1.0;Wind;0.0;0.0
G0564;ES00734;0.0;0.0;43.0;1.0;Wind;0.0;0.0
G0566;ES00740;0.0;0.0;171.0;1.0;Wind;0.0;0.0
G0570;ES00745;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0572;ES00754;0.0;0.0;218.0;1.0;Wind;0.0;0.0
G0576;ES00761;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0577;ES00762;0.0;0.0;114.0;1.0;Wind;0.0;0.0
G0580;ES00769;0.0;0.0;88.0;1.0;Wind;0.0;0.0
G0583;ES00782;0.0;0.0;103.0;1.0;Wind;0.0;0.0
G0589;ES00787;0.0;0.0;66.0;1.0;Wind;0.0;0.0
G0590;ES00788;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0591;ES00797;0.0;0.0;64.0;1.0;Wind;0.0;0.0
G0592;ES00798;0.0;0.0;14.0;1.0;Wind;0.0;0.0
G0593;ES00800;0.0;0.0;139.0;1.0;Wind;0.0;0.0
G0595;ES00802;0.0;0.0;20.0;1.0;Wind;0.0;0.0
G0596;ES00803;0.0;0.0;48.0;1.0;Wind;0.0;0.0
G0597;ES00805;0.0;0.0;105.0;1.0;Wind;0.0;0.0
G0598;ES00807;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0599;ES00808;0.0;0.0;31.0;1.0;Wind;0.0;0.0
G0600;ES00809;0.0;0.0;152.9;1.0;Wind;0.0;0.0
G0626;ES00842;0.0;0.0;48.0;1.0;Wind;0.0;0.0
G0629;ES00843;0.0;0.0;78.0;1.0;Wind;0.0;0.0
G0638;ES00853;0.0;0.0;20.0;1.0;Wind;0.0;0.0
G0640;ES00857;0.0;0.0;280.0;1.0;Wind;0.0;0.0
G0643;ES00858;0.0;0.0;140.0;1.0;Wind;0.0;0.0
G0645;ES00860;0.0;0.0;19.0;1.0;Wind;0.0;0.0
G0646;ES00863;0.0;0.0;56.0;1.0;Wind;0.0;0.0
G0648;ES00869;0.0;0.0;14.0;1.0;Wind;0.0;0.0
G0653;ES00887;0.0;0.0;48.0;1.0;Wind;0.0;0.0
G0658;ES00892;0.0;0.0;134.0;1.0;Wind;0.0;0.0
G0659;ES00893;0.0;0.0;78.0;1.0;Wind;0.0;0.0
G0660;ES00894;0.0;0.0;18.0;1.0;Wind;0.0;0.0
G0661;ES00895;0.0;0.0;75.0;1.0;Wind;0.0;0.0
G0662;ES00896;0.0;0.0;26.0;1.0;Wind;0.0;0.0
G0663;ES00897;0.0;0.0;184.0;1.0;Wind;0.0;0.0
G0664;ES00898;0.0;0.0;23.0;1.0;Wind;0.0;0.0
G0666;ES00899;0.0;0.0;252.0;1.0;Wind;0.0;0.0
G0668;ES00901;0.0;0.0;49.0;1.0;Wind;0.0;0.0
G0670;ES00902;0.0;0.0;44.0;1.0;Wind;0.0;0.0
G0675;ES00907;0.0;0.0;30.0;1.0;Wind;0.0;0.0
G0684;ES00917;0.0;0.0;49.0;1.0;Wind;0.0;0.0
G0687;ES00918;0.0;0.0;21.0;1.0;Wind;0.0;0.0
G0690;ES00926;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0691;ES00927;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0695;ES00933;0.0;0.0;57.0;1.0;Wind;0.0;0.0
G0700;ES00955;0.0;0.0;86.0;1.0;Wind;0.0;0.0
G0703;ES00959;0.0;0.0;35.0;1.0;Wind;0.0;0.0
G0708;ES00963;0.0;0.0;10.0;1.0;Wind;0.0;0.0
G0710;ES00965;0.0;0.0;93.0;1.0;Wind;0.0;0.0
G0711;ES00967;0.0;0.0;72.0;1.0;Wind;0.0;0.0
G0713;ES00968;0.0;0.0;112.0;1.0;Wind;0.0;0.0
G0715;ES00971;0.0;0.0;78.0;1.0;Wind;0.0;0.0
G0717;ES00972;0.0;0.0;13.0;1.0;Wind;0.0;0.0
G0718;ES00973;0.0;0.0;40.0;1.0;Wind;0.0;0.0
G0728;ES00978;0.0;0.0;28.0;1.0;Wind;0.0;0.0
G0731;ES00979;0.0;0.0;75.0;1.0;Wind;0.0;0.0
G0732;ES00995;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0733;ES00996;0.0;0.0;262.0;1.0;Wind;0.0;0.0
G0735;ES00997;0.0;0.0;57.0;1.0;Wind;0.0;0.0
G0737;ES01001;0.0;0.0;26.0;1.0;Wind;0.0;0.0
G0739;ES01004;0.0;0.0;37.0;1.0;Wind;0.0;0.0
G0744;ES01017;0.0;0.0;251.0;1.0;Wind;0.0;0.0
G0747;ES01033;0.0;0.0;26.0;1.0;Wind;0.0;0.0
G0748;ES01036;0.0;0.0;50.0;1.0;Wind;0.0;0.0
G0751;ES01040;0.0;0.0;126.0;1.0;Wind;0.0;0.0
G0753;ES01043;0.0;0.0;60.0;1.0;Wind;0.0;0.0
G0755;ES01048;0.0;0.0;78.0;1.0;Wind;0.0;0.0
G0756;ES01049;0.0;0.0;62.0;1.0;Wind;0.0;0.0
G0758;ES01050;0.0;0.0;106.0;1.0;Wind;0.0;0.0
G0761;ES01052;0.0;0.0;10.0;1.0;Wind;0.0;0.0
G0762;ES01053;0.0;0.0;199.0;1.0;Wind;0.0;0.0
G0765;ES01059;0.0;0.0;122.0;1.0;Wind;0.0;0.0
G0771;ES01062;0.0;0.0;74.0;1.0;Wind;0.0;0.0
