Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0120a;ES00159;ES00069;3105.838;-3105.838;0.18660474666038945;500.0;0.0;100.0
LLTGES0121;ES00161;ES00966;427.053;-427.053;0.1398378628760602;500.0;0.0;100.0
LLTGES0122;ES00162;ES00164;427.053;-427.053;0.37328214564462325;500.0;0.0;100.0
LLTGES0123;ES00163;ES01003;1552.919;-1552.919;0.11715328713264873;500.0;0.0;100.0
LLTGES0124a;ES00163;ES00723;3105.838;-3105.838;1.7762620341752817;500.0;0.0;100.0
LLTGES0125;ES00166;ES00168;1281.158;-1281.158;1.3095471994745802;500.0;0.0;100.0
LLTGES0126a;ES00168;ES00908;854.105;-854.105;0.08624278452680097;500.0;0.0;100.0
LLTGES0127a;ES00908;ES01057;854.105;-854.105;0.4335542967052884;500.0;0.0;100.0
LLTGES0128a;ES01057;ES00907;854.105;-854.105;0.1248162174499209;500.0;0.0;100.0
LLTGES0130a;ES00168;ES00909;854.105;-854.105;0.3330166927272512;500.0;0.0;100.0
LLTGES0132;ES00727;ES00725;427.053;-427.053;0.44564786146694224;500.0;0.0;100.0
LLTGES0133a;ES00021;ES00159;3105.838;-3105.838;0.04341267964087422;500.0;0.0;100.0
LLTGES0134;ES00168;ES00160;427.053;-427.053;1.3953254003135265;500.0;0.0;100.0
LLTGES0135;ES00725;ES00169;427.053;-427.053;0.07589774742798042;500.0;0.0;100.0
LLTGES0136a;ES00153;ES00171;3105.838;-3105.838;0.12068306378623862;500.0;0.0;100.0
LLTGES0137;ES00884;ES00752;1552.919;-1552.919;0.1649699706369547;500.0;0.0;100.0
LLTGES0138a;ES00173;ES00101;854.105;-854.105;0.39545732261361083;500.0;0.0;100.0
LLTGES0139a;ES00176;ES00130;3105.838;-3105.838;0.30071102755745194;500.0;0.0;100.0
LLTGES0140a;ES00175;ES00129;854.105;-854.105;0.23988702452837654;500.0;0.0;100.0
LLTGES0141a;ES00130;ES00089;3105.838;-3105.838;0.05952549988208143;500.0;0.0;100.0
LLTGES0142a;ES00129;ES00088;854.105;-854.105;0.04748543864939776;500.0;0.0;100.0
LLTGES0143;ES00731;ES00696;427.053;-427.053;0.03850681087874157;500.0;0.0;100.0
LLTGES0144;ES00163;ES00177;1552.919;-1552.919;0.0447488647867865;500.0;0.0;100.0
LLTGES0145;ES00163;ES00734;1552.919;-1552.919;0.34234793906540684;500.0;0.0;100.0
LLTGES0146;ES00162;ES00739;427.053;-427.053;0.9208343419936528;500.0;0.0;100.0
LLTGES0147a;ES00179;ES00181;3105.838;-3105.838;0.09116810941311618;500.0;0.0;100.0
LLTGES0148a;ES00735;ES00182;3105.838;-3105.838;1.5615870904737856;500.0;0.0;100.0
LLTGES0149a;ES00185;ES00736;854.105;-854.105;0.5655389675607037;500.0;0.0;100.0
LLTGES0150a;ES00185;ES00751;854.105;-854.105;1.345387438618095;500.0;0.0;100.0
