Type;Zone;value;Profile_Timeserie
Total;ES00164;122474.55371272801;Profile-Iberia2.csv
Total;ES00165;0.0;Profile-Iberia2.csv
Total;ES00166;11574.5745698;Profile-Iberia2.csv
Total;ES00167;12054.9422891;Profile-Iberia2.csv
Total;ES00168;0.0;Profile-Iberia2.csv
Total;ES00169;76950.104954667;Profile-Iberia2.csv
Total;ES00170;0.0;Profile-Iberia2.csv
Total;ES00171;100632.004769624;Profile-Iberia2.csv
Total;ES00172;798756.816131238;Profile-Iberia2.csv
Total;ES00173;0.0;Profile-Iberia2.csv
Total;ES00174;5.262690737204852e6;Profile-Iberia2.csv
Total;ES00175;12398.062088600002;Profile-Iberia2.csv
Total;ES00176;0.0;Profile-Iberia2.csv
Total;ES00177;746224.488588189;Profile-Iberia2.csv
Total;ES00178;85424.935255784;Profile-Iberia2.csv
Total;ES00179;0.0;Profile-Iberia2.csv
Total;ES00180;0.0;Profile-Iberia2.csv
Total;ES00181;71550.771789735;Profile-Iberia2.csv
Total;ES00182;24185.599680623;Profile-Iberia2.csv
Total;ES00183;0.0;Profile-Iberia2.csv
Total;ES00184;14616.903458699999;Profile-Iberia2.csv
Total;ES00185;0.0;Profile-Iberia2.csv
Total;ES00186;48266.204702599;Profile-Iberia2.csv
Total;ES00187;432655.76744686;Profile-Iberia2.csv
Total;ES00188;0.0;Profile-Iberia2.csv
Total;ES00189;409290.45283357496;Profile-Iberia2.csv
Total;ES00190;0.0;Profile-Iberia2.csv
Total;ES00191;538578.4507782409;Profile-Iberia2.csv
Total;ES00192;608292.616654519;Profile-Iberia2.csv
Total;ES00193;0.0;Profile-Iberia2.csv
Total;ES00194;24875.499224150997;Profile-Iberia2.csv
Total;ES00195;143210.198182645;Profile-Iberia2.csv
Total;ES00196;0.0;Profile-Iberia2.csv
Total;ES00197;224646.251395975;Profile-Iberia2.csv
Total;ES00198;216640.808980574;Profile-Iberia2.csv
Total;ES00199;74879.49133795101;Profile-Iberia2.csv
Total;ES00200;327592.713586493;Profile-Iberia2.csv
Total;ES00201;717268.379961851;Profile-Iberia2.csv
Total;ES00202;211532.89889868398;Profile-Iberia2.csv
Total;ES00203;0.0;Profile-Iberia2.csv
Total;ES00204;437127.990913543;Profile-Iberia2.csv
Total;ES00205;251321.070848704;Profile-Iberia2.csv
Total;ES00206;0.0;Profile-Iberia2.csv
Total;ES00207;0.0;Profile-Iberia2.csv
Total;ES00208;65984.91114877899;Profile-Iberia2.csv
Total;ES00209;502247.096434917;Profile-Iberia2.csv
Total;ES00210;0.0;Profile-Iberia2.csv
Total;ES00211;696505.972147573;Profile-Iberia2.csv
Total;ES00212;1.0430032142073179e6;Profile-Iberia2.csv
Total;ES00213;184740.961221059;Profile-Iberia2.csv
Total;ES00214;1.358382692903875e6;Profile-Iberia2.csv
Total;ES00215;229414.47287636;Profile-Iberia2.csv
Total;ES00216;702073.4340142601;Profile-Iberia2.csv
Total;ES00217;160321.125090644;Profile-Iberia2.csv
Total;ES00218;968106.5668793919;Profile-Iberia2.csv
Total;ES00219;2.06017591241521e6;Profile-Iberia2.csv
Total;ES00220;0.0;Profile-Iberia2.csv
Total;ES00221;31381.050622671002;Profile-Iberia2.csv
Total;ES00222;687282.911937013;Profile-Iberia2.csv
Total;ES00223;63121.004555619;Profile-Iberia2.csv
Total;ES00224;0.0;Profile-Iberia2.csv
Total;ES00225;3385.4486884000003;Profile-Iberia2.csv
Total;ES00226;0.0;Profile-Iberia2.csv
Total;ES00227;9378.607853;Profile-Iberia2.csv
Total;ES00228;1.286151400178465e6;Profile-Iberia2.csv
Total;ES00229;0.0;Profile-Iberia2.csv
Total;ES00230;37013.705251263;Profile-Iberia2.csv
Total;ES00231;20632.937276599998;Profile-Iberia2.csv
Total;ES00232;129986.58985644799;Profile-Iberia2.csv
Total;ES00233;79321.062769212;Profile-Iberia2.csv
Total;ES00234;26593.156940448;Profile-Iberia2.csv
Total;ES00235;0.0;Profile-Iberia2.csv
Total;ES00236;293378.637152617;Profile-Iberia2.csv
Total;ES00237;0.0;Profile-Iberia2.csv
Total;ES00238;331870.04500706;Profile-Iberia2.csv
Total;ES00239;592043.377936331;Profile-Iberia2.csv
Total;ES00240;128586.66107448799;Profile-Iberia2.csv
Total;ES00241;6816.6466834;Profile-Iberia2.csv
Total;ES00242;57733.108717337;Profile-Iberia2.csv
Total;ES00243;0.0;Profile-Iberia2.csv
Total;ES00244;62195.03859003501;Profile-Iberia2.csv
Total;ES00245;0.0;Profile-Iberia2.csv
Total;ES00246;11414.4519967;Profile-Iberia2.csv
Total;ES00247;1.047450504301904e6;Profile-Iberia2.csv
Total;ES00248;0.0;Profile-Iberia2.csv
Total;ES00249;0.0;Profile-Iberia2.csv
Total;ES00250;203506.869295313;Profile-Iberia2.csv
Total;ES00251;0.0;Profile-Iberia2.csv
Total;ES00252;185282.861757736;Profile-Iberia2.csv
Total;ES00253;0.0;Profile-Iberia2.csv
Total;ES00254;0.0;Profile-Iberia2.csv
Total;ES00255;77722.810743141;Profile-Iberia2.csv
Total;ES00256;437020.480043033;Profile-Iberia2.csv
Total;ES00257;0.0;Profile-Iberia2.csv
Total;ES00258;0.0;Profile-Iberia2.csv
Total;ES00259;146047.79892451002;Profile-Iberia2.csv
Total;ES00260;0.0;Profile-Iberia2.csv
Total;ES00261;356163.155558193;Profile-Iberia2.csv
Total;ES00262;207297.885586722;Profile-Iberia2.csv
Total;ES00263;0.0;Profile-Iberia2.csv
Total;ES00264;0.0;Profile-Iberia2.csv
Total;ES00265;200213.37671317902;Profile-Iberia2.csv
Total;ES00266;336562.09389195597;Profile-Iberia2.csv
Total;ES00267;25975.998794414;Profile-Iberia2.csv
Total;ES00268;0.0;Profile-Iberia2.csv
Total;ES00269;0.0;Profile-Iberia2.csv
Total;ES00270;137653.029909943;Profile-Iberia2.csv
Total;ES00271;21593.672715200002;Profile-Iberia2.csv
Total;ES00272;230797.474414878;Profile-Iberia2.csv
Total;ES00273;417655.713545385;Profile-Iberia2.csv
Total;ES00274;567077.066338579;Profile-Iberia2.csv
Total;ES00275;575153.42017921;Profile-Iberia2.csv
Total;ES00276;0.0;Profile-Iberia2.csv
Total;ES00277;1.0;exp_load_ES00277.csv
Total;ES00278;9996.2234921;Profile-Iberia2.csv
Total;ES00279;0.0;Profile-Iberia2.csv
Total;ES00280;597767.073685057;Profile-Iberia2.csv
Total;ES00281;235224.406068027;Profile-Iberia2.csv
Total;ES00282;0.0;Profile-Iberia2.csv
Total;ES00283;1.135628404082343e6;Profile-Iberia2.csv
Total;ES00284;18528.469173;Profile-Iberia2.csv
Total;ES00285;225845.340721961;Profile-Iberia2.csv
Total;ES00286;42074.264800822;Profile-Iberia2.csv
Total;ES00287;358575.287748678;Profile-Iberia2.csv
Total;ES00288;283762.819144896;Profile-Iberia2.csv
Total;ES00289;375887.96909878304;Profile-Iberia2.csv
Total;ES00290;797196.764776178;Profile-Iberia2.csv
Total;ES00291;337428.58575896;Profile-Iberia2.csv
Total;ES00292;147444.067761942;Profile-Iberia2.csv
Total;ES00293;19123.2101588;Profile-Iberia2.csv
Total;ES00294;0.0;Profile-Iberia2.csv
Total;ES00295;335174.974915844;Profile-Iberia2.csv
Total;ES00296;0.0;Profile-Iberia2.csv
Total;ES00297;318453.832100077;Profile-Iberia2.csv
Total;ES00298;332860.746241483;Profile-Iberia2.csv
Total;ES00299;292198.30504233704;Profile-Iberia2.csv
